id,kand.sns,kand.ds,kand.sps,kand.sds,kand.srs,kand.bsj,kand.dss,glas.sns,glas.ds,glas.sps,glas.srs,glas.dss,glas.sds,glas.djb,glas.ost,lok.sns,lok.ds,lok.sds,lok.srs,lok.sps,lok.dss,lok.bsj
1,1-some,0-none,1-some,1-some,0-none,1-some,0-none,48.58,5.08,7.93,9.76,4.88,7.11,6.1,10.56,39.32,9.09,6.77,4.02,8.03,1.48,31.29
2,0-none,1-some,1-some,0-none,0-none,1-some,1-some,42.36,6.73,9.82,7.27,7.45,5.82,10.91,9.64,35.36,10.84,5.32,3.04,6.27,2.28,36.88
3,2-high,1-some,1-some,1-some,1-some,0-none,0-none,38.74,8.52,10.95,12.17,4.67,3.85,9.74,11.36,31.92,14.16,3.59,6.98,9.73,2.33,31.29
4,0-none,0-none,0-none,1-some,0-none,1-some,1-some,44.96,5.41,6.63,6.39,6.88,10.07,8.11,11.55,40.97,7.12,5.85,3.56,5.6,6.62,30.28
5,1-some,1-some,2-high,1-some,0-none,0-none,1-some,41.73,6.43,11.21,7.72,5.7,6.25,10.66,10.3,32.57,12.26,5.56,2.87,10.92,4.02,31.8
6,0-none,0-none,0-none,1-some,0-none,1-some,0-none,55.59,1.22,8.57,7.34,4.72,7.87,5.24,9.45,44.53,3.4,17.92,4.72,5.66,2.45,21.32
7,2-high,2-high,0-none,1-some,0-none,0-none,0-none,55.14,3.16,8.3,9.29,5.14,4.15,6.13,8.69,48.94,5.96,3.4,5.53,6.17,4.04,25.96
8,2-high,2-high,0-none,0-none,0-none,0-none,0-none,67.53,4.45,4.82,6.68,2.97,3.9,2.97,6.68,61.88,6.99,3.39,2.59,4.19,2,18.96
9,0-none,2-high,0-none,0-none,0-none,0-none,0-none,55.29,7.98,7.19,8.18,4.79,5.19,4.99,6.39,47.2,8.62,9.05,3.45,5.82,1.94,23.92
10,1-some,2-high,1-some,1-some,1-some,0-none,0-none,47.59,4.28,8.02,16.31,3.48,6.68,4.01,9.63,40.4,6.5,11.86,11.02,6.21,1.13,22.88
