upisani,rsns,rostali,rnisuglasali,age1849,age50plus,eduprim,edumiddle,eduhigher,compillit,complit,workemployed,workretired,workother,ethnicserbs,ethnicminother,lsns,lostali,lnisuglasali
15381,2243,5517,7621,7635,7746,6504,7342,1535,10621,4760,5932,4375,5075,2676,12705,1309,6679,7393
23282,11605,3106,8571,10873,12409,11732,9310,2240,17515,5767,9333,6478,7471,22545,737,4572,10096,8614
43301,19671,4644,18986,20414,22887,21309,17947,4044,34250,9051,12951,12389,17960,39711,3590,18255,5808,19238
18789,7189,3306,8294,8911,9878,8954,8253,1582,14097,4692,5744,4692,8353,11407,7382,7339,3136,8314
26333,11455,3765,11113,12866,13467,9499,14228,2606,18540,7793,8898,8416,9019,16534,9799,10547,4701,11085
15880,7570,2165,6145,8042,7838,6428,8007,1445,11985,3895,8611,3474,3795,15555,325,5408,4326,6146
10199,5912,1347,2940,3903,6296,5567,3872,760,8314,1885,3014,3770,3415,9060,1139,5538,1668,2993
13205,4948,2616,5641,6724,6481,6561,5765,879,9840,3365,4966,3260,4979,6188,7017,4479,3064,5662
47892,22223,7079,18590,24041,23851,17071,25055,5766,31847,16045,17558,14022,16312,37814,10078,22032,7401,18459
29396,6365,7518,15513,14441,14955,11989,14191,3216,19671,9725,10869,8525,10003,8672,20724,5127,9016,15253
12259,3979,2879,5401,6139,6120,5234,5714,1311,8198,4061,5389,3275,3595,3209,9050,3704,3189,5366
22178,10328,2700,9150,10836,11342,10584,9735,1860,16957,5221,10404,5006,6768,21851,327,9126,3721,9331
24090,9927,3735,10428,11551,12539,7347,14206,2537,17443,6647,8416,7688,7986,22656,1434,8825,4582,10683
10405,5528,1788,3089,5069,5336,4238,5334,833,7743,2662,3274,2855,4276,10187,218,4141,3027,3237
33708,9552,7641,16515,17329,16379,14378,15833,3497,22899,10809,11919,9240,12539,13944,19764,8897,8300,16511
16434,7029,2804,6601,7999,8435,7064,7755,1614,12413,4021,4910,4381,7143,12032,4402,5887,3885,6662
9735,6030,2150,1555,4189,5546,4488,4328,919,7821,1914,2497,3317,3921,8346,1389,7550,54,2131
13447,6838,1949,4660,7093,6354,5260,7012,1175,9192,4255,4722,3445,5280,9368,4079,5946,2840,4661
9860,5717,1769,2374,4216,5644,4192,4605,1062,7833,2027,2858,3622,3380,9689,171,4945,2425,2490
25098,12549,3502,9047,12513,12585,13191,10180,1726,20825,4273,11284,5351,8463,23911,1187,13199,3065,8834
8982,5693,883,2406,4170,4812,5033,3506,443,7717,1265,4062,2112,2808,7440,1542,3885,2572,2525
11139,5742,1232,4165,4601,6538,6666,3766,706,9065,2074,5035,3526,2578,7177,3962,5358,1565,4216
8076,2975,2077,3024,3748,4328,3955,3131,990,6452,1624,4531,1480,2065,889,7187,1752,3267,3057
14218,8157,1783,4278,6642,7576,6983,6011,1224,10981,3237,6550,3759,3909,13882,336,8392,1363,4463
